fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221108 190212	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	0.1	50	0.5	FALSE	66667	0.0845436837949091	0.662603332605795	0.642457440161525	8.68665335759579	0.000685562503519007	18681	43358000	1
20221108 190715	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	430	1	1	1	0.1	50	0.5	FALSE	66667	0.053925046469667	0.546845338793355	0.832618770008412	7.36252147231426	0.0138895412908592	19319	43122000	2
20221108 191252	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	483	1	1	1	0.1	50	0.5	FALSE	66667	0.148728352776379	0.517212611672585	0.475412473759934	4.49393515418342	0.0222643053793401	16298	45724000	3
20221108 191734	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	0.1	50	0.5	FALSE	66667	0.189814417514135	0.472840859729331	0.539306396352185	9.88206647563493	0.000509079545699353	18016	43248000	4
20221108 192301	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	596	1	1	1	0.1	50	0.5	FALSE	66667	0.0680419752909802	0.290332226830651	0.351386499430373	6.05395486722409	0.0189215323186316	18275	44890000	5
20221108 193058	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	977	1	1	1	0.1	50	0.5	FALSE	66667	0.235175968011608	0.422035223722924	0.917117330303154	1.23447193785978	0.0113735437238046	13464	41952000	6
20221108 195532	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3179	1	1	1	0.1	50	0.5	FALSE	66667	0.0143200769246323	0.334549234819133	0.964488665608951	4.23359608525061	0.0205111870723298	17575	45170000	7
20221108 195702	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	201	1	1	1	0.1	50	0.5	FALSE	66667	0.196027364661568	0.635121827028343	0.456356495754881	5.52244122490811	0.0173269969298296	19116	43848000	8
20221108 200017	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	587	1	1	1	0.1	50	0.5	FALSE	66667	0.0413189569099632	0.588872908553458	0.302420495778642	6.6075269025896	0.0206280035222467	17442	46076000	9
20221108 200549	2185	943862	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	413	1	1	1	0.1	50	0.5	FALSE	66667	0.211657652864524	0.353876411833335	0.262933728630014	10.0934041453438	0.000178743890809186	16652	40776000	10
