fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 125618	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	0.1	50	0.5	FALSE	102191	0.126210484411276	0.220392225950491	0.480191567556176	5.28156211346504	0.0215273035515229	16592	16736000	1
20221029 125742	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	1	0.1	50	0.5	FALSE	102191	0.157267743830744	0.595776439539623	0.204210099417105	10.2830147306959	1.98209318360319e-05	12362	16476000	2
20221029 125924	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	490	1	1	1	0.1	50	0.5	FALSE	102191	0.237653905058833	0.385710049056797	0.75974699569997	2.16611388591991	0.0250195688438167	14652	14696000	3
20221029 130026	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	0.1	50	0.5	FALSE	102191	0.0938880441362562	0.391868366039125	0.426679739490646	7.48532289496507	0.0270706580414265	15304	17632000	4
20221029 130126	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	92	1	1	1	0.1	50	0.5	FALSE	102191	0.140431782322266	0.479101802271907	0.59990842338666	4.89132037838863	0.021897606986445	14112	18336000	5
20221029 130156	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	0.1	50	0.5	FALSE	102191	0.187037709046854	0.76574264485389	0.160684661212144	6.98890324213426	0.0170091380891461	16062	15076000	6
20221029 130244	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	26	1	1	1	0.1	50	0.5	FALSE	102191	0.263084942253045	0.512241756913136	0.570851713729644	6.29564907638996	0.0231007566847271	15133	16934000	7
20221029 130451	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	1	0.1	50	0.5	FALSE	102191	0.0790719467840972	0.621913089306327	0.387480567677994	9.46767441330303	4.70231351918522e-06	13480	17280000	8
20221029 130617	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	0.1	50	0.5	FALSE	102191	0.197843212572479	0.439672969435924	0.807800346521253	11.3048088904616	0.00126149355333636	14152	16576000	9
20221029 130706	1223	138432	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	0.1	50	0.5	FALSE	102191	0.28341031456599	0.71854933045106	0.894296254999063	9.00579558996833	0.0430801252349968	15369	14142000	10
